year,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,source,reanalysis_min_air_temp_k_rolling_2,station_min_temp_c_rolling_2,reanalysis_air_temp_k_rolling_2,reanalysis_avg_temp_k_rolling_2,reanalysis_dew_point_temp_k_rolling_2,reanalysis_specific_humidity_g_per_kg_rolling_2,station_avg_temp_c_rolling_2,week_sin,week_cos,sj,iq
1990,18,0.1226,0.103725,0.1984833,0.1776167,12.42,297.572857143,297.742857143,292.414285714,299.8,295.9,32.0,73.3657142857,12.42,14.0128571429,2.62857142857,25.4428571429,6.9,29.4,20.0,16.0,train,,,,,,,,0.8455960035018261,-0.5338233779647907,1,0
1990,19,0.1699,0.142175,0.1623571,0.1554857,22.82,298.211428571,298.442857143,293.951428571,300.9,296.4,17.94,77.3685714286,22.82,15.3728571429,2.37142857143,26.7142857143,6.37142857143,31.7,22.2,8.6,train,296.15,21.1,297.892142857,298.092857143,293.1828571425,14.6928571429,26.0785714286,0.7765238627180424,-0.630087843581711,1,0
1990,20,0.03225,0.1729667,0.1572,0.1708429,34.54,298.781428571,298.878571429,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,26.7142857143,6.48571428571,32.2,22.8,41.4,train,296.85,22.5,298.496428571,298.66071428600003,294.6928571425,16.11071428575,26.7142857143,0.6965510290629972,-0.717507257044331,1,0
1990,21,0.1286333,0.2450667,0.2275571,0.2358857,15.36,298.987142857,299.228571429,295.31,301.4,297.0,13.9,80.3371428571,15.36,16.6728571429,2.42857142857,27.4714285714,6.77142857143,33.3,23.3,4.0,train,297.15,23.05,298.884285714,299.053571429,295.372142857,16.760714285749998,27.09285714285,0.6068001458185932,-0.7948544414133534,1,0
1990,22,0.1962,0.2622,0.2512,0.24734,7.52,299.518571429,299.664285714,295.821428571,301.9,297.5,12.2,80.46,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,5.8,train,297.25,23.6,299.252857143,299.4464285715,295.5657142855,16.94142857145,28.20714285715,0.5085311186492207,-0.8610436117673553,1,0
1990,23,0.1962,0.17485,0.2543143,0.1817429,9.58,299.63,299.764285714,295.851428571,302.4,298.1,26.49,79.8914285714,9.58,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,train,297.8,23.9,299.5742857145,299.71428571399997,295.836428571,17.21142857145,28.5285714286,0.4031234292879726,-0.9151456172430182,1,0
1990,24,0.1129,0.0928,0.2050714,0.2102714,3.48,299.207142857,299.221428571,295.865714286,301.3,297.7,38.6,82.0,3.48,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,train,297.9,23.6,299.4185714285,299.4928571425,295.8585714285,17.2235714286,27.7642857143,0.29205677063697594,-0.9564009842765224,1,0
1990,25,0.0725,0.0725,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30.0,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.68571428571,33.9,22.8,21.1,train,298.04999999999995,23.05,299.39928571400003,299.375,296.19857142850003,17.6057142857,27.892857142849998,0.17689027512257316,-0.9842305779475968,1,0
1990,26,0.10245,0.146175,0.1255714,0.1236,19.32,299.578571429,299.557142857,296.378571429,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.88571428571,28.3285714286,7.38571428571,33.9,22.8,21.1,train,298.04999999999995,22.8,299.58500000000004,299.542857143,296.455,17.88357142855,28.35,0.05924062789371414,-0.9982437317643215,1,0
1990,27,0.10245,0.12155,0.1606833,0.2025667,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.0714285714,2.01428571429,28.3285714286,6.51428571429,33.9,24.4,1.1,train,298.2,23.6,299.8664285715,299.917857143,296.515,17.9307142857,28.3285714286,-0.05924062789371389,-0.9982437317643215,1,0
1990,28,0.192875,0.08235,0.1919429,0.1529286,22.27,299.512857143,299.592857143,296.041428571,301.8,298.0,43.72,81.4671428571,22.27,17.4185714286,2.15714285714,27.5571428571,7.15714285714,31.7,21.7,63.7,train,298.35,23.049999999999997,299.8335714285,299.935714286,296.346428571,17.744999999999997,27.942857142850002,-0.1768902751225729,-0.9842305779475968,1,0
1990,29,0.2916,0.2118,0.3012,0.2806667,59.17,299.667142857,299.75,296.334285714,302.0,297.3,40.9,82.1442857143,59.17,17.7371428571,2.41428571429,28.1285714286,6.9,32.8,23.9,12.2,train,297.65,22.799999999999997,299.59000000000003,299.6714285715,296.1878571425,17.57785714285,27.84285714285,-0.29205677063697566,-0.9564009842765224,1,0
1990,30,0.1505667,0.1717,0.2269,0.2145571,16.48,299.558571429,299.635714286,295.96,301.8,297.1,42.53,80.7428571429,16.48,17.3414285714,2.07142857143,28.1142857143,6.35714285714,31.7,22.8,32.6,train,297.20000000000005,23.35,299.612857143,299.69285714299997,296.14714285699995,17.53928571425,28.12142857145,-0.403123429287972,-0.9151456172430186,1,0
1990,31,0.1505667,0.24715,0.3797,0.3813571,32.66,299.862857143,299.95,296.172857143,303.0,298.3,34.6,80.5842857143,32.66,17.5942857143,2.58571428571,28.2428571429,8.08571428571,34.4,22.8,37.6,train,297.70000000000005,22.8,299.710714286,299.792857143,296.06642857149996,17.46785714285,28.1785714286,-0.5085311186492202,-0.8610436117673557,1,0
1990,32,0.1505667,0.06433333,0.1644429,0.1388571,28.8,300.391428571,300.478571429,296.532857143,302.5,298.8,20.0,79.65,28.8,17.95,2.32857142857,28.2,7.55714285714,33.3,23.3,11.4,train,298.55,23.05,300.12714285699997,300.21428571449997,296.352857143,17.77214285715,28.221428571449998,-0.6068001458185934,-0.7948544414133533,1,0
1990,33,0.1505667,0.1280333,0.2069571,0.1682429,90.75,299.958571429,299.957142857,297.035714286,302.6,298.5,101.9,84.1785714286,90.75,18.5157142857,1.85714285714,28.0428571429,6.68571428571,32.8,22.8,44.7,train,298.65,23.05,300.175,300.217857143,296.7842857145,18.23285714285,28.12142857145,-0.6965510290629969,-0.7175072570443312,1,0
1990,34,0.1902333,0.1688,0.1676571,0.1722857,32.4,300.332857143,300.414285714,296.728571429,302.5,298.1,25.9,80.9471428571,32.4,18.1742857143,2.48571428571,28.3428571429,7.01428571429,33.3,23.3,5.4,train,298.3,23.05,300.14571428600004,300.1857142855,296.88214285749996,18.345,28.192857142900003,-0.7765238627180426,-0.6300878435817109,1,0
1990,35,0.2529,0.33075,0.2641714,0.2843143,40.94,300.118571429,300.221428571,297.017142857,302.2,298.7,39.8,83.3485714286,40.94,18.5157142857,1.9,28.6571428571,6.52857142857,32.2,24.4,13.7,train,298.4,23.85,300.22571428599997,300.3178571425,296.87285714300003,18.345,28.5,-0.845596003501826,-0.533823377964791,1,0
1990,36,0.2354,0.200025,0.2838167,0.2304429,28.86,300.53,300.635714286,296.117142857,303.8,298.0,30.4,77.1728571429,28.86,17.56,3.47142857143,28.3285714286,7.61428571429,32.8,23.3,14.2,train,298.35,23.85,300.3242857145,300.4285714285,296.567142857,18.03785714285,28.49285714285,-0.9027978299657435,-0.4300652022765204,1,0
1990,37,0.1279667,0.4371,0.1234,0.1482833,64.56,300.674285714,300.792857143,297.192857143,302.9,299.0,24.18,81.5514285714,64.56,18.7771428571,2.9,28.6857142857,8.05714285714,33.9,24.4,25.9,train,298.5,23.85,300.602142857,300.71428571449997,296.655,18.16857142855,28.50714285715,-0.9473263538541913,-0.32026985386283807,1,0
1990,38,0.19635,0.1824333,0.2548286,0.3056857,143.73,299.857142857,299.9,296.431428571,301.7,298.7,36.6,81.6371428571,143.73,17.8928571429,1.74285714286,28.2428571429,8.11428571429,32.8,23.9,3.3,train,298.85,24.15,300.2657142855,300.3464285715,296.812142857,18.335,28.4642857143,-0.9785564922995039,-0.2059786187410985,1,0
1990,39,0.1161,0.2609,0.1994429,0.2442167,51.39,300.427142857,300.6,296.028571429,302.4,299.1,16.4,77.0485714286,51.39,17.4685714286,2.25714285714,28.3428571429,7.72857142857,32.8,24.4,15.8,train,298.9,24.15,300.14214285699995,300.25,296.23,17.68071428575,28.2928571429,-0.9960498426152169,-0.08879589532293546,1,0
1990,40,0.22855,0.18975,0.2124857,0.2011857,31.18,300.775714286,300.85,296.664285714,303.3,299.1,36.1,78.52,31.18,18.18,2.9,28.7714285714,8.02857142857,33.3,23.9,11.7,train,299.1,24.15,300.6014285715,300.725,296.34642857150004,17.8242857143,28.55714285715,-0.9995608365087943,0.02963332782255942,1,0
1990,41,0.17115,0.06755,0.1794667,0.1577167,51.42,299.857142857,299.942857143,296.928571429,301.8,298.1,132.4,84.11,51.42,18.5128571429,2.57142857143,28.6285714286,7.31428571429,33.3,24.4,57.7,train,298.6,24.15,300.31642857149996,300.3964285715,296.7964285715,18.346428571449998,28.700000000000003,-0.9890401873221641,0.14764656400248038,1,0
