year,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,reanalysis_tdtr_k_rolling_2,reanalysis_min_air_temp_k_rolling_2,station_min_temp_c_rolling_2,reanalysis_air_temp_k_rolling_2,reanalysis_avg_temp_k_rolling_2,reanalysis_dew_point_temp_k_rolling_2,reanalysis_specific_humidity_g_per_kg_rolling_2,station_avg_temp_c_rolling_2,reanalysis_tdtr_k_rolling_4,reanalysis_min_air_temp_k_rolling_4,station_min_temp_c_rolling_4,reanalysis_air_temp_k_rolling_4,reanalysis_avg_temp_k_rolling_4,reanalysis_dew_point_temp_k_rolling_4,reanalysis_specific_humidity_g_per_kg_rolling_4,station_avg_temp_c_rolling_4,reanalysis_tdtr_k_rolling_6,reanalysis_min_air_temp_k_rolling_6,station_min_temp_c_rolling_6,reanalysis_air_temp_k_rolling_6,reanalysis_avg_temp_k_rolling_6,reanalysis_dew_point_temp_k_rolling_6,reanalysis_specific_humidity_g_per_kg_rolling_6,station_avg_temp_c_rolling_6,week_sin,week_cos,sj,iq
1990,18,0.1226,0.103725,0.1984833,0.1776167,12.42,297.572857143,297.742857143,292.414285714,299.8,295.9,32.0,73.3657142857,12.42,14.0128571429,2.62857142857,25.4428571429,6.9,29.4,20.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,0.8455960035018261,-0.5338233779647907,1,0
1990,19,0.1699,0.142175,0.1623571,0.1554857,22.82,298.211428571,298.442857143,293.951428571,300.9,296.4,17.94,77.3685714286,22.82,15.3728571429,2.37142857143,26.7142857143,6.37142857143,31.7,22.2,8.6,2.5,296.15,21.1,297.892142857,298.092857143,293.1828571425,14.6928571429,26.0785714286,,,,,,,,,,,,,,,,,0.7765238627180425,-0.630087843581711,1,0
1990,20,0.03225,0.1729667,0.1572,0.1708429,34.54,298.781428571,298.878571429,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,26.7142857143,6.48571428571,32.2,22.8,41.4,2.335714285715,296.85,22.5,298.496428571,298.66071428600003,294.6928571425,16.11071428575,26.7142857143,,,,,,,,,,,,,,,,,0.6965510290629972,-0.717507257044331,1,0
1990,21,0.1286333,0.2450667,0.2275571,0.2358857,15.36,298.987142857,299.228571429,295.31,301.4,297.0,13.9,80.3371428571,15.36,16.6728571429,2.42857142857,27.4714285714,6.77142857143,33.3,23.3,4.0,2.364285714285,297.15,23.05,298.884285714,299.053571429,295.372142857,16.760714285749998,27.09285714285,2.4321428571425,296.65,22.075,298.3882142855,298.573214286,294.27749999975003,15.726785714325,26.585714285725,,,,,,,,,0.6068001458185932,-0.7948544414133534,1,0
1990,22,0.1962,0.2622,0.2512,0.24734,7.52,299.518571429,299.664285714,295.821428571,301.9,297.5,12.2,80.46,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,5.8,2.72142857143,297.25,23.6,299.252857143,299.4464285715,295.5657142855,16.94142857145,28.20714285715,2.5285714285725,297.05,23.05,298.874642857,299.05357142875,295.129285714,16.526071428599998,27.460714285725,,,,,,,,,0.5085311186492207,-0.8610436117673553,1,0
1990,23,0.1962,0.17485,0.2543143,0.1817429,9.58,299.63,299.764285714,295.851428571,302.4,298.1,26.49,79.8914285714,9.58,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,2.557142857145,297.8,23.9,299.5742857145,299.71428571399997,295.836428571,17.21142857145,28.5285714286,2.460714285715,297.475,23.475,299.22928571425,299.3839285715,295.604285714,16.9860714286,27.810714285725,2.47380952381,297.03333333333336,22.683333333333337,298.7835714285,298.95357142866663,294.7971428568333,16.2216666667,27.23333333335,0.4031234292879726,-0.9151456172430182,1,0
1990,24,0.1129,0.0928,0.2050714,0.2102714,3.48,299.207142857,299.221428571,295.865714286,301.3,297.7,38.6,82.0,3.48,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,2.0714285714300003,297.9,23.6,299.4185714285,299.4928571425,295.8585714285,17.2235714286,27.7642857143,2.39642857143,297.57500000000005,23.6,299.33571428575,299.469642857,295.712142857,17.082500000025,27.985714285725,2.376190476191667,297.3333333333333,23.233333333333334,299.05595238083333,299.2,295.3723809521667,16.7585714286,27.561904761916665,0.2920567706369759,-0.9564009842765224,1,0
1990,25,0.0725,0.0725,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30.0,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.68571428571,33.9,22.8,21.1,1.807142857145,298.04999999999995,23.05,299.39928571400003,299.375,296.19857142850003,17.6057142857,27.89285714285,2.182142857145,297.925,23.475,299.48678571425,299.544642857,296.01749999975,17.408571428575,28.210714285725,2.2428571428583335,297.6666666666667,23.333333333333332,299.28595238083335,299.380952381,295.8023809521667,17.192619047633332,27.8380952381,0.1768902751225731,-0.9842305779475968,1,0
1990,26,0.10245,0.146175,0.1255714,0.1236,19.32,299.578571429,299.557142857,296.378571429,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.88571428571,28.3285714286,7.38571428571,33.9,22.8,21.1,1.72857142857,298.04999999999995,22.8,299.58500000000004,299.542857143,296.455,17.88357142855,28.35,1.9,297.975,23.2,299.50178571425,299.51785714275,296.15678571424996,17.553571428574998,28.05714285715,2.1738095238099997,297.73333333333335,23.333333333333332,299.4188095238333,299.494047619,295.95976190466666,17.349523809533334,28.10714285715,0.0592406278937141,-0.9982437317643216,1,0
1990,27,0.10245,0.12155,0.1606833,0.2025667,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.0714285714,2.01428571429,28.3285714286,6.51428571429,33.9,24.4,1.1,1.95,298.2,23.6,299.8664285715,299.917857143,296.515,17.9307142857,28.3285714286,1.8785714285725,298.125,23.325000000000003,299.63285714275,299.6464285715,296.35678571425,17.7682142857,28.110714285725,2.1047619047633335,298.01666666666665,23.516666666666666,299.61333333333334,299.66904761899997,296.1833333331667,17.582619047616664,28.250000000016662,-0.0592406278937138,-0.9982437317643216,1,0
